"old_tips","new_tips"
"Myrcia.camapuanensis_Staggemeier.327","Myrcia.camapuanensis"
"Myrcia.canapuensis_Gomez.sn","Myrcia.canapuensis"
"Myrcia.cardiaca_Vasconcelos.274","Myrcia.cardiaca"
"Myrcia.carvalhoi_Santos.751","Myrcia.carvalhoi"
"Myrcia.caudata_Zappi.1506","Myrcia.caudata"
"Myrcia.cerqueiria_Amorim.2028","Myrcia.cerqueiria"
"Myrcia.chytraculia_Flickinger.2016J5","Myrcia.chytraculia"
"Myrcia.citrifolia_Pollard.1193","Myrcia.citrifolia"
"Myrcia.clarendonensis_Vasconcelos.511","Myrcia.clarendonensis"
"Myrcia.clavija_Lucas.244","Myrcia.clavija"
"Myrcia.coelosepala_Lucas.267","Myrcia.coelosepala"
"Myrcia.congestiflora_Torres.1673","Myrcia.congestiflora"
"Myrcia.cordiformis_Staggemeier.762","Myrcia.cordiformis"
"Myrcia.cordiifolia_Faria.2470","Myrcia.cordiifolia"
"Myrcia.costeira_Lucas.71","Myrcia.costeira"
"Myrcia.coumete_Lucas.107","Myrcia.coumete"
"Myrcia.crocea_Amorim.1942","Myrcia.crocea"
"Myrcia.cuprea_Staggemeier.862","Myrcia.cuprea"
"Myrcia.decorticans_Staggemeier.799_Brazil.SE","Myrcia.decorticans"
"Myrcia.deflexa_Flickinger.71","Myrcia.deflexa"
"Myrcia.densa_Santos.643","Myrcia.densa"
"Myrcia.depauperata_MelloSilva.1713","Myrcia.depauperata"
"Myrcia.dictyophylla_SoaresSilva.751","Myrcia.dictyophylla"
"Myrcia.egensis_Araujo.311","Myrcia.egensis"
"Myrcia.elevata_Santos.763","Myrcia.elevata"
